Account-Mapping,Acc2-Mapping,Version,Year-mapping,Month-mapping,Region-Mapping,Market-Mapping,Adj_Value_Sum
Advertising and Promotion,P&L,ACT,Y1,M02,A,A01,-1.647673351
Advertising and Promotion,P&L,ACT,Y1,M02,A,A03,-1.543904113
Advertising and Promotion,P&L,ACT,Y1,M02,B,B01,-1.706370537
Advertising and Promotion,P&L,ACT,Y1,M02,B,B03,-1.729709487
Advertising and Promotion,P&L,ACT,Y1,M02,B,B05,-1.061415174
Advertising and Promotion,P&L,ACT,Y1,M02,B,B06,-1.38581362
Advertising and Promotion,P&L,ACT,Y1,M02,B,B08,-1.269144744
Advertising and Promotion,P&L,ACT,Y1,M02,B,B17,-1.543010591
Advertising and Promotion,P&L,ACT,Y1,M02,B,B19,-1.684435856
Advertising and Promotion,P&L,ACT,Y1,M02,B,B23,-1.700361699
Advertising and Promotion,P&L,ACT,Y1,M02,B,B25,-1.337801586
Advertising and Promotion,P&L,ACT,Y1,M02,B,B27,-1.375830205
Advertising and Promotion,P&L,ACT,Y1,M02,C,C02,-1.130771175
Advertising and Promotion,P&L,ACT,Y1,M02,C,C06,-1.409892564
Advertising and Promotion,P&L,ACT,Y1,M02,D,D01,-2.336929394
Advertising and Promotion,P&L,ACT,Y1,M02,D,D04,-1.17258238
Advertising and Promotion,P&L,ACT,Y1,M02,E,E04,-2.028013698
Advertising and Promotion,P&L,ACT,Y1,M02,E,E07,1.852027525
Advertising and Promotion,P&L,ACT,Y1,M02,E,E09,-1.386076432
Advertising and Promotion,P&L,ACT,Y1,M02,E,E12,-1.334580023
Advertising and Promotion,P&L,ACT,Y1,M02,E,E16,-1.618882299
Advertising and Promotion,P&L,ACT,Y1,M02,G,G01,-1.44213234
Advertising and Promotion,P&L,ACT,Y1,M02,G,G08,-0.351520477
Advertising and Promotion,P&L,ACT,Y1,M02,G,G10,-1.383211389
Advertising and Promotion,P&L,ACT,Y1,M02,G,G12,-1.57494629
Advertising and Promotion,P&L,ACT,Y1,M03,A,A01,-1.225176441
Advertising and Promotion,P&L,ACT,Y1,M03,A,A03,-1.271097968
Advertising and Promotion,P&L,ACT,Y1,M03,B,B01,-1.369050578
Advertising and Promotion,P&L,ACT,Y1,M03,B,B03,-1.293946081
Advertising and Promotion,P&L,ACT,Y1,M03,B,B05,-0.786677467
Advertising and Promotion,P&L,ACT,Y1,M03,B,B06,-0.03503153
Advertising and Promotion,P&L,ACT,Y1,M03,B,B08,-0.978159596
Advertising and Promotion,P&L,ACT,Y1,M03,B,B17,-1.28140368
Advertising and Promotion,P&L,ACT,Y1,M03,B,B23,-1.436217802
Advertising and Promotion,P&L,ACT,Y1,M03,B,B25,-1.092500798
Advertising and Promotion,P&L,ACT,Y1,M03,B,B27,-0.929923006
Advertising and Promotion,P&L,ACT,Y1,M03,C,C02,-0.682942614
Advertising and Promotion,P&L,ACT,Y1,M03,C,C06,-1.017420777
Advertising and Promotion,P&L,ACT,Y1,M03,D,D01,-1.569997706
Advertising and Promotion,P&L,ACT,Y1,M03,D,D04,-1.114778442
Advertising and Promotion,P&L,ACT,Y1,M03,E,E04,-1.466737224
Advertising and Promotion,P&L,ACT,Y1,M03,E,E07,2.130788594
